MCM7,MCM2
MCM7,MCM3
MCM7,MCM4
MCM7,MCM5
MCM7,MCM6
MCM7,ORC1
MCM7,ORC2
MCM7,ORC4
MCM7,ORC3
MCM7,ORC5
ORC1,MCM5
MCM7,ORC6
ORC1,CDC6
ORC1,ORC3
ORC1,ORC6
ORC2,CDC6
ORC2,CDC45
ORC2,MCM2
ORC2,MCM6
ORC2,MCM5
ORC2,ORC3
ORC1,CDC45
ORC2,ORC5
ORC2,ORC6
ORC3,CDC45
ORC3,CDC6
ORC3,MCM5
ORC3,MCM6
ORC3,ORC6
ORC4,CDC45
ORC4,CDC6
ORC4,MCM2
ORC4,MCM5
ORC2,ORC4
ORC4,MCM6
ORC1,MCM6
ORC4,ORC1
ORC2,ORC1
ORC4,ORC3
ORC4,ORC5
ORC4,ORC6
ORC5,CDC45
ORC5,CDC6
ORC5,MCM5
ORC5,MCM6
ORC5,ORC1
ORC5,ORC3
ORC5,ORC6
ORC6,CDC6
ORC6,MCM5
DBF4,CDC7
EME1,CDK5
STAT3,CDK5
CDK7,MNAT1
STAT3,EME1
CDK7,XAB2
CDK7,XPA
ERCC1,CDK7
ERCC1,MNAT1
ERCC1,XAB2
ERCC1,XPA
MNAT1,XAB2
MNAT1,XPA
RPA2,CDK7
RPA2,ERCC1
RPA2,MNAT1
RPA2,XAB2
RPA2,XPA
XPA,XAB2
PCNA,XRCC1
PCNA,POLK
PCNA,POLE
POLE,POLK
RPA2,PCNA
RPA2,POLE
RPA2,POLK
RPA2,XRCC1
XRCC1,POLE
XRCC1,POLK
RBX1,DDB1
EME1,MUS81
MSH2,EME1
MSH2,MUS81
EME1,SLX4
SLX4,MUS81
ERCC1,MLH1
ERCC1,PMS2
ERCC1,SLX4
MLH1,PMS2
FANCD2,POLN
FANCI,POLN
PCNA,GADD45A
GINS1,GINS3
GINS4,GINS1
GINS4,GINS3
HUS1,RAD1
RAD17,HUS1
HUS1,TDG
RAD17,RAD1
RAD1,TDG
MDC1,RNF8
MSH2,SLX4
PARP1,XRCC1
MSH2,MSH6
PCNA,PARP1
PARP1,POLE
PCNA,POLB
PARP1,POLB
PARP1,PARP3
POLB,POLE
PARP1,WRN
WRN,XRCC1
XRCC1,POLB
WRN,POLB
PARP2,POLB
WRN,PARP2
PCNA,POLH
PCNA,REV1
REV1,POLH
POLK,REV1
RAD17,PPP5C
POLH,RAD18
XRCC1,PARP2
REV1,RAD18
TDG,XPC
BCL2,TMBIM6
BCL2L11,DYNLL1
RPA2,RAD52
PPP3CB,PPP3R1
MT-ND1,MT-ND2
MT-ND1,MT-ND5
MT-ND1,MT-ND4
MT-ND1,MT-ND6
MT-ND1,NDUFA1
MT-ND1,NDUFA10
MT-ND1,NDUFA11
MT-ND1,NDUFA12
MT-ND1,NDUFA2
MT-ND1,NDUFA3
MT-ND1,NDUFA5
MT-ND1,NDUFA4
MT-ND1,NDUFA13
MT-ND1,NDUFA7
